date,carp_score,opponent_name,opponent_score
2017-04-01,9,阪神,8
2017-04-02,9,阪神,1
2017-04-04,7,中日,1
2017-04-05,3,中日,3
2017-04-06,5,中日,3
2017-04-07,4,ヤクルト,1
2017-04-08,2,ヤクルト,1
2017-04-09,6,ヤクルト,2
2017-04-11,9,巨人,6
2017-04-12,9,巨人,5
2017-04-13,11,巨人,5
2017-04-14,2,阪神,4
2017-04-15,7,阪神,1
2017-04-16,1,阪神,2
2017-04-18,4,DeNA,3
2017-04-19,0,DeNA,4
2017-04-20,3,DeNA,5
2017-04-21,1,ヤクルト,3
2017-04-22,0,ヤクルト,1
2017-04-23,7,ヤクルト,4
2017-04-25,0,巨人,1
2017-04-26,7,巨人,6
2017-04-27,1,巨人,0
2017-04-28,3,DeNA,9
2017-04-29,6,DeNA,1
2017-04-30,9,DeNA,10
2017-05-02,5,中日,2
2017-05-03,7,中日,4
2017-05-04,8,中日,7
2017-05-05,5,阪神,8
2017-05-06,9,阪神,12
2017-05-07,0,阪神,6
2017-05-09,2,ヤクルト,3
2017-05-10,8,ヤクルト,7
2017-05-11,3,ヤクルト,12
2017-05-13,11,巨人,2
2017-05-14,8,巨人,1
2017-05-16,10,DeNA,1
2017-05-17,4,DeNA,5
2017-05-18,9,DeNA,2
2017-05-19,3,中日,5
2017-05-20,1,中日,2
2017-05-21,4,中日,7
2017-05-23,3,ヤクルト,2
2017-05-24,6,ヤクルト,1
2017-05-26,7,巨人,2
2017-05-27,9,巨人,0
2017-05-28,3,巨人,2
2017-05-30,5,西武,0
2017-05-31,9,西武,4
2017-06-01,2,西武,4
2017-06-02,4,ロッテ,5
2017-06-03,6,ロッテ,5
2017-06-04,7,ロッテ,1
2017-06-06,4,日本ハム,3
2017-06-07,8,日本ハム,3
2017-06-08,5,日本ハム,3
2017-06-09,12,楽天,3
2017-06-10,1,楽天,2
2017-06-11,3,楽天,4
2017-06-13,1,オリックス,0
2017-06-14,7,オリックス,6
2017-06-15,7,オリックス,2
2017-06-16,3,ソフトバンク,5
2017-06-17,3,ソフトバンク,2
2017-06-18,4,ソフトバンク,7
2017-06-23,13,阪神,3
2017-06-25,5,阪神,0
2017-06-27,4,DeNA,3
2017-06-28,8,DeNA,11
2017-06-30,8,中日,3
2017-07-01,8,中日,1
2017-07-02,6,中日,4
2017-07-04,0,巨人,3
2017-07-05,0,巨人,5
2017-07-06,6,巨人,5
2017-07-07,9,ヤクルト,8
2017-07-08,8,ヤクルト,2
2017-07-09,3,ヤクルト,3
2017-07-10,5,DeNA,1
2017-07-11,2,DeNA,5
2017-07-12,5,DeNA,1
2017-07-17,1,阪神,2
2017-07-18,9,阪神,5
2017-07-19,14,阪神,3
2017-07-21,5,中日,8
2017-07-22,6,中日,3
2017-07-23,12,中日,1
2017-07-25,2,巨人,1
2017-07-26,7,巨人,2
2017-07-27,3,巨人,4
2017-07-28,7,ヤクルト,1
2017-07-29,1,ヤクルト,9
2017-07-30,14,ヤクルト,1
