date,carp_score,opponent_name,opponent_score
2016-04-01,4,巨人,6
2016-04-02,3,巨人,0
2016-04-03,3,巨人,4
2016-04-05,12,ヤクルト,5
2016-04-06,6,ヤクルト,3
2016-04-08,2,阪神,3
2016-04-09,6,阪神,2
2016-04-10,8,阪神,7
2016-04-12,3,中日,1
2016-04-14,10,中日,1
2016-04-16,5,巨人,6
2016-04-17,1,巨人,2
2016-04-19,6,DeNA,4
2016-04-20,0,DeNA,10
2016-04-22,9,阪神,12
2016-04-23,3,阪神,2
2016-04-24,2,阪神,6
2016-04-26,11,ヤクルト,3
2016-04-27,8,ヤクルト,0
2016-04-28,4,ヤクルト,6
2016-04-29,9,中日,4
2016-04-30,12,中日,2
2016-05-01,10,中日,7
2016-05-03,2,巨人,3
2016-05-04,6,巨人,1
2016-05-05,2,巨人,4
2016-05-06,0,DeNA,6
2016-05-07,10,DeNA,4
2016-05-08,1,DeNA,7
2016-05-10,6,ヤクルト,3
2016-05-11,2,ヤクルト,5
2016-05-12,3,ヤクルト,4
2016-05-13,6,中日,3
2016-05-14,5,中日,6
2016-05-15,3,中日,3
2016-05-17,9,ヤクルト,0
2016-05-18,3,ヤクルト,11
2016-05-19,7,ヤクルト,6
2016-05-20,4,阪神,1
2016-05-21,3,阪神,4
2016-05-22,10,阪神,5
2016-05-24,6,巨人,0
2016-05-25,9,巨人,3
2016-05-26,3,巨人,2
2016-05-27,1,DeNA,6
2016-05-28,1,DeNA,3
2016-05-29,6,DeNA,0
2016-05-31,0,ロッテ,5
2016-06-01,4,ロッテ,2
2016-06-02,4,ロッテ,13
2016-06-03,1,ソフトバンク,6
2016-06-04,1,ソフトバンク,1
2016-06-05,2,ソフトバンク,1
2016-06-07,3,日本ハム,2
2016-06-08,2,日本ハム,4
2016-06-09,4,日本ハム,2
2016-06-10,6,楽天,0
2016-06-11,1,楽天,2
2016-06-12,3,楽天,4
2016-06-14,3,西武,2
2016-06-15,6,西武,2
2016-06-16,6,西武,0
2016-06-17,6,オリックス,4
2016-06-18,4,オリックス,3
2016-06-19,5,オリックス,4
2016-06-24,4,阪神,2
2016-06-25,4,阪神,2
2016-06-26,4,阪神,3
